satisfaction,sex,customer_type,age,travel_type,class,flight_distance,seat_comfort,time_convenience,food_drink,gate_location,inflight_wifi,inflight_entertainment,online_support,ease_booking,onboard_service,leg_room,baggage_handling,checkin_service,cleanliness,online_boarding,departure_delay,arrival_delay
satisfied,Male,disloyal,23,Business ,Eco,1735,4,0,4,3,2,4,2,2,1,1,3,4,4,2,70,55
dissatisfied,Female,disloyal,28,Business ,Business,3973,3,3,3,4,3,2,2,3,3,3,4,2,3,2,1,0
satisfied,Male,loyal,45,Business ,Business,860,1,1,1,1,4,4,5,5,5,5,5,5,5,3,0,2
satisfied,Female,loyal,54,Personal ,Eco,379,5,4,5,5,5,3,5,4,4,4,4,5,4,3,0,0
satisfied,Female,disloyal,21,Business ,Business,2565,5,4,5,1,2,5,1,2,4,5,5,3,4,2,22,25
dissatisfied,Male,loyal,58,Business ,Business,353,4,5,5,5,1,3,3,4,4,4,4,4,4,2,13,27
dissatisfied,Male,loyal,49,Business ,Eco Plus,2088,3,4,4,4,3,3,3,3,4,4,3,2,4,3,0,0
satisfied,Male,loyal,28,Business ,Business,3230,4,4,4,4,4,4,4,4,4,4,4,4,5,4,18,14
satisfied,Female,loyal,62,Personal ,Eco,315,2,2,2,2,4,4,4,2,2,2,2,5,2,4,89,79
satisfied,Male,disloyal,38,Business ,Business,1300,2,3,3,1,2,3,2,2,4,2,4,3,4,2,17,35
satisfied,Female,loyal,21,Personal ,Eco,2014,4,4,4,4,5,5,5,4,4,4,4,3,4,4,6,27
dissatisfied,Female,loyal,56,Business ,Eco,1143,1,2,2,2,3,4,3,1,1,1,1,4,1,2,0,0
dissatisfied,Male,loyal,15,Personal ,Eco,2413,1,1,1,3,2,1,2,2,3,3,3,1,3,2,0,18
satisfied,Male,loyal,33,Business ,Business,4546,2,2,2,2,4,4,4,4,5,5,4,5,4,4,91,88
satisfied,Female,loyal,49,Business ,Business,1974,1,1,1,1,5,4,5,5,5,5,5,3,5,4,0,0
dissatisfied,Male,loyal,19,Personal ,Eco,1895,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0
dissatisfied,Female,disloyal,21,Business ,Eco,2532,1,2,2,4,2,3,3,1,1,3,3,3,2,3,384,402
satisfied,Male,loyal,43,Business ,Eco,1256,5,4,4,4,5,5,5,5,1,2,5,1,5,5,6,0
satisfied,Female,loyal,55,Business ,Business,2906,1,1,1,1,2,5,4,5,5,5,5,3,5,3,0,0
dissatisfied,Male,loyal,49,Business ,Business,969,3,2,2,2,1,3,4,3,3,2,3,1,3,2,0,0
satisfied,Female,loyal,38,Personal ,Eco,2324,5,5,5,5,5,5,4,4,4,4,4,5,4,3,0,0
satisfied,Female,loyal,43,Business ,Business,3475,4,4,4,4,2,5,4,4,4,4,4,4,4,5,20,21
satisfied,Male,loyal,33,Business ,Business,5030,4,4,4,4,5,5,5,5,5,2,5,5,5,5,23,13
satisfied,Female,loyal,33,Business ,Business,1121,4,4,4,4,5,1,2,5,5,5,5,5,5,3,0,22
dissatisfied,Female,loyal,61,Business ,Business,100,4,5,5,5,2,3,4,4,4,4,4,4,4,1,0,0
satisfied,Female,loyal,12,Personal ,Eco,1495,5,2,5,4,1,5,1,1,3,2,3,3,4,1,0,16
satisfied,Female,loyal,47,Business ,Business,2336,1,1,1,1,2,5,5,5,5,5,5,3,5,3,0,0
dissatisfied,Male,loyal,36,Personal ,Eco,1873,4,4,4,4,5,4,5,5,3,1,4,1,3,5,0,0
satisfied,Male,disloyal,22,Business ,Eco,2760,4,4,4,4,2,4,2,2,5,1,5,4,5,2,0,0
satisfied,Male,loyal,48,Business ,Eco,1727,4,4,4,4,4,4,4,4,2,2,4,3,4,4,0,0
dissatisfied,Male,loyal,61,Personal ,Eco,1988,2,4,2,3,3,2,3,3,4,5,5,5,4,3,0,0
satisfied,Female,loyal,67,Personal ,Eco,941,4,4,4,4,5,4,5,5,5,5,5,3,5,5,0,0
dissatisfied,Female,loyal,34,Personal ,Eco,1993,4,5,4,4,5,4,5,5,5,2,5,4,4,5,0,9
dissatisfied,Female,loyal,41,Business ,Eco Plus,1312,2,4,4,4,2,4,3,2,2,2,2,3,2,3,0,0
dissatisfied,Female,loyal,48,Business ,Eco,461,2,2,2,2,5,3,3,2,2,2,2,3,2,1,0,0
dissatisfied,Male,loyal,29,Business ,Eco,1340,2,3,3,3,2,2,2,2,1,5,4,4,3,2,95,91
dissatisfied,Female,disloyal,37,Business ,Eco,1611,4,0,4,2,1,4,1,1,2,2,2,5,4,1,0,0
satisfied,Male,loyal,48,Business ,Business,2886,2,2,2,2,4,4,4,4,4,4,4,5,4,4,0,0
dissatisfied,Male,loyal,52,Business ,Eco Plus,2418,3,1,4,1,3,3,3,3,3,5,3,1,3,3,1,0
satisfied,Male,loyal,52,Business ,Business,2651,5,5,5,5,3,5,5,3,3,3,3,3,3,3,0,0
satisfied,Male,loyal,54,Business ,Business,2321,2,2,2,2,2,5,5,5,5,5,5,4,5,4,0,13
satisfied,Male,loyal,45,Business ,Business,1985,1,1,4,1,4,5,4,4,4,4,4,4,4,5,1,12
satisfied,Male,loyal,46,Business ,Eco,2243,4,3,5,5,4,4,4,4,2,5,1,2,3,4,55,49
satisfied,Female,loyal,59,Business ,Business,1792,3,3,3,3,5,5,4,5,5,5,5,5,5,4,0,0
satisfied,Male,loyal,30,Business ,Eco,1018,5,1,3,3,5,5,5,5,2,3,4,2,5,5,21,11
dissatisfied,Male,loyal,39,Business ,Eco Plus,3032,1,3,3,3,1,1,1,1,2,3,3,2,4,1,0,2
satisfied,Female,loyal,40,Business ,Business,693,2,2,2,2,3,4,5,4,4,4,4,4,4,3,0,0
dissatisfied,Female,disloyal,26,Business ,Eco,2296,2,2,2,3,2,5,5,1,2,5,5,5,1,5,0,23
dissatisfied,Female,loyal,28,Business ,Business,2262,2,1,1,1,2,2,2,2,4,2,3,1,3,2,0,0
satisfied,Female,loyal,17,Personal ,Eco,1509,5,4,5,3,4,5,4,2,2,5,2,4,2,5,0,0
dissatisfied,Male,loyal,42,Business ,Business,1761,4,5,5,5,4,3,3,4,4,4,4,1,4,3,0,0
satisfied,Female,loyal,31,Business ,Business,4743,3,3,3,3,5,5,5,5,3,5,1,2,1,5,0,0
dissatisfied,Female,disloyal,47,Business ,Eco,2110,2,2,2,3,1,2,1,1,3,3,4,2,3,1,5,2
satisfied,Female,loyal,68,Personal ,Eco,254,4,4,4,4,5,5,5,5,3,4,4,4,5,5,0,0
satisfied,Male,loyal,42,Business ,Business,2137,3,3,3,3,2,5,5,3,3,4,3,5,3,5,7,0
dissatisfied,Male,disloyal,41,Business ,Eco,1630,2,1,2,2,3,2,3,3,4,5,3,4,2,3,0,0
satisfied,Male,loyal,41,Business ,Business,1500,5,5,5,5,2,5,4,4,4,4,4,5,4,4,4,0
dissatisfied,Male,loyal,46,Business ,Business,3359,3,1,4,1,2,3,3,3,3,3,3,3,3,3,23,17
satisfied,Female,loyal,47,Business ,Eco,461,4,2,2,2,5,1,1,4,4,4,4,2,4,4,0,0
satisfied,Female,loyal,37,Business ,Business,79,3,3,3,3,5,1,1,5,5,5,4,4,5,5,0,0
satisfied,Male,loyal,47,Business ,Business,2664,2,2,2,2,4,4,5,5,5,5,5,5,5,5,0,0
satisfied,Male,loyal,30,Business ,Business,4702,4,4,4,4,4,4,4,4,4,2,4,4,5,4,31,10
satisfied,Female,loyal,41,Business ,Business,625,1,1,1,1,5,5,5,5,5,5,5,5,5,3,0,0
satisfied,Male,loyal,48,Business ,Business,421,5,5,5,5,5,4,5,5,5,5,5,3,5,5,8,7
satisfied,Female,loyal,25,Business ,Business,1889,2,2,2,2,5,5,5,5,3,3,4,3,5,5,0,0
dissatisfied,Female,disloyal,59,Business ,Eco,1918,3,3,3,1,2,3,2,2,3,5,1,1,2,2,0,4
satisfied,Female,loyal,45,Personal ,Eco,968,1,1,1,1,3,3,3,3,5,1,5,5,4,3,0,0
satisfied,Male,loyal,26,Business ,Business,1406,5,5,5,5,4,5,4,4,2,2,3,2,5,4,0,0
dissatisfied,Female,loyal,38,Business ,Eco Plus,2881,1,1,1,1,1,1,1,1,2,3,4,2,3,1,37,83
satisfied,Female,loyal,24,Personal ,Business,1963,5,0,5,4,3,5,3,3,4,3,5,5,5,3,69,57
dissatisfied,Female,loyal,33,Personal ,Eco,2232,4,3,4,3,1,4,1,1,4,4,4,3,3,1,0,17
satisfied,Female,loyal,67,Personal ,Eco,1155,0,0,0,2,4,5,2,3,3,1,1,4,3,5,49,57
satisfied,Male,loyal,24,Business ,Business,2317,1,1,1,1,5,5,5,5,5,1,5,5,2,5,64,55
satisfied,Female,loyal,71,Business ,Eco,69,5,1,1,1,5,5,4,5,5,5,5,4,5,2,0,0
satisfied,Female,loyal,19,Personal ,Eco,1964,2,2,2,2,4,4,4,4,4,4,5,4,5,4,0,2
dissatisfied,Male,loyal,36,Business ,Business,598,2,3,3,3,3,2,1,2,2,2,2,4,2,3,15,40
satisfied,Male,loyal,46,Business ,Business,2364,5,5,5,5,4,4,4,5,4,3,5,4,4,4,0,0
dissatisfied,Male,loyal,42,Business ,Eco,1616,4,1,1,1,4,4,4,4,3,3,2,2,2,4,0,4
dissatisfied,Male,loyal,23,Business ,Business,3292,1,0,0,4,1,0,1,1,2,4,3,2,4,1,14,7
dissatisfied,Male,disloyal,29,Business ,Eco,4096,1,1,1,3,1,4,4,4,4,3,3,4,1,4,51,57
satisfied,Female,loyal,20,Personal ,Eco,1997,5,5,5,5,4,4,5,4,4,4,5,1,4,4,82,62
satisfied,Female,loyal,8,Personal ,Eco,1494,3,2,3,3,5,5,5,5,5,3,5,5,5,5,20,17
satisfied,Female,loyal,51,Personal ,Eco,1722,1,2,1,1,2,4,5,4,4,4,4,3,4,4,37,55
dissatisfied,Female,disloyal,51,Business ,Eco Plus,1754,3,3,3,3,5,3,5,5,1,5,4,4,4,5,0,0
dissatisfied,Male,loyal,37,Personal ,Eco,2887,1,5,1,3,3,1,3,3,3,2,5,5,4,3,3,0
satisfied,Female,loyal,65,Business ,Business,1722,4,4,4,4,3,5,4,4,4,4,4,3,4,4,2,0
satisfied,Female,loyal,45,Business ,Business,1011,1,1,1,1,5,5,4,5,5,5,5,4,5,3,14,14
dissatisfied,Female,loyal,45,Business ,Business,2656,3,3,3,3,2,4,4,3,3,3,3,1,3,3,29,17
satisfied,Female,loyal,19,Personal ,Eco,2216,1,1,1,1,4,4,5,4,4,5,5,4,4,4,8,0
dissatisfied,Male,disloyal,59,Business ,Business,1997,1,2,2,3,2,1,2,2,1,1,2,4,3,2,4,0
satisfied,Male,loyal,57,Business ,Eco,2469,5,3,3,3,5,5,5,5,3,3,2,4,1,5,0,0
satisfied,Female,loyal,58,Business ,Eco,92,5,1,1,1,1,5,3,5,5,5,5,1,5,3,17,4
satisfied,Female,loyal,51,Business ,Business,53,3,3,3,3,2,3,4,4,4,4,5,4,4,4,0,0
satisfied,Female,loyal,27,Personal ,Eco,2133,4,4,4,4,1,1,5,5,5,5,5,4,5,3,51,55
satisfied,Female,loyal,67,Personal ,Eco,1022,4,2,2,2,4,4,3,4,4,4,4,3,4,3,0,4
satisfied,Male,loyal,51,Business ,Business,1623,0,0,0,3,4,5,5,3,3,3,3,5,3,5,0,0
satisfied,Female,loyal,49,Business ,Business,2792,3,3,3,3,3,3,4,4,4,4,4,5,4,3,5,0
dissatisfied,Female,disloyal,23,Business ,Eco,1627,2,2,2,3,3,2,2,3,4,4,4,4,4,3,0,0
dissatisfied,Female,loyal,28,Business ,Business,4694,2,2,5,2,2,2,2,2,1,4,3,1,3,2,0,5
satisfied,Female,loyal,40,Business ,Business,458,3,3,3,3,4,5,4,4,4,4,4,5,4,4,0,0
dissatisfied,Male,loyal,57,Business ,Eco,698,3,5,5,5,3,3,3,3,1,5,4,3,3,3,0,0
satisfied,Male,loyal,52,Business ,Business,2390,4,4,4,4,4,3,5,4,4,4,4,3,4,5,0,0
satisfied,Male,loyal,46,Business ,Business,853,5,5,5,5,4,4,5,5,5,5,5,5,5,4,16,0
satisfied,Female,loyal,51,Business ,Business,2213,2,2,2,2,3,3,4,4,4,4,4,3,4,5,9,0
satisfied,Female,loyal,25,Personal ,Eco,1718,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0
dissatisfied,Male,loyal,41,Personal ,Eco,2576,4,5,4,4,4,4,4,4,5,2,4,3,5,4,9,1
dissatisfied,Male,loyal,64,Personal ,Eco Plus,1183,1,4,1,3,5,1,5,5,3,2,4,5,5,5,0,0
satisfied,Male,loyal,60,Business ,Business,1630,3,3,3,3,4,5,4,5,5,5,5,3,5,5,40,46
dissatisfied,Female,loyal,29,Personal ,Eco,1782,4,4,4,1,3,4,2,3,4,2,5,2,4,3,59,52
satisfied,Female,loyal,30,Personal ,Eco,1865,4,4,4,4,5,5,5,5,5,5,5,5,5,4,0,0
satisfied,Male,loyal,13,Business ,Business,4642,3,3,3,3,5,5,5,5,3,5,4,3,4,5,13,0
satisfied,Male,loyal,60,Business ,Business,2658,4,4,4,4,4,4,4,4,4,5,4,4,4,4,17,10
satisfied,Male,loyal,32,Business ,Business,4505,4,4,4,4,4,4,4,4,3,4,4,4,4,4,0,4
satisfied,Male,loyal,49,Business ,Business,591,4,4,4,4,4,4,5,5,5,5,5,4,5,3,0,0
dissatisfied,Female,loyal,70,Business ,Eco,830,1,1,1,1,3,4,3,1,1,1,1,2,1,3,21,7
dissatisfied,Female,disloyal,62,Business ,Eco,2377,1,0,1,3,5,1,5,5,5,4,5,4,5,5,0,0
satisfied,Female,loyal,39,Personal ,Eco,1897,2,2,2,2,2,2,4,5,5,5,5,3,5,1,93,126
satisfied,Female,loyal,8,Personal ,Eco,2499,3,2,2,2,1,2,3,3,3,3,3,5,3,2,0,0
satisfied,Female,loyal,22,Business ,Business,3360,3,3,3,3,4,4,4,4,4,3,4,3,5,4,2,0
dissatisfied,Male,loyal,60,Personal ,Eco,1670,4,5,4,2,1,4,1,1,4,1,1,2,2,1,0,0
satisfied,Female,loyal,21,Personal ,Eco,2604,2,5,2,2,3,5,4,4,4,4,4,5,4,4,0,0
dissatisfied,Male,loyal,53,Personal ,Eco,2020,2,4,2,1,3,2,3,3,4,4,5,4,5,3,0,6
satisfied,Male,loyal,25,Business ,Business,3706,1,1,1,1,5,4,5,5,2,3,2,4,2,5,13,17
dissatisfied,Female,loyal,41,Personal ,Eco,3539,3,4,3,4,3,1,1,2,5,4,3,1,4,1,132,145
satisfied,Female,loyal,41,Business ,Business,624,4,4,4,4,2,4,5,5,5,5,5,3,5,4,0,0
satisfied,Male,loyal,37,Business ,Eco,1604,5,3,3,3,5,5,5,5,3,2,4,4,2,5,0,2
satisfied,Male,loyal,39,Business ,Business,333,3,2,3,3,5,4,3,5,5,5,5,2,5,4,108,91
dissatisfied,Female,disloyal,39,Business ,Business,1720,2,2,2,1,2,2,2,2,3,5,4,4,5,2,94,95
dissatisfied,Male,loyal,60,Personal ,Eco,1378,2,4,2,4,4,2,5,4,4,4,5,5,4,4,0,0
satisfied,Male,loyal,30,Business ,Business,1533,5,2,5,5,5,5,5,5,1,3,1,2,1,5,0,0
satisfied,Male,loyal,56,Business ,Business,1191,2,2,2,2,5,5,5,4,4,5,4,3,4,4,5,0
dissatisfied,Male,loyal,46,Personal ,Eco,3202,1,1,1,2,4,1,2,4,1,2,3,4,3,4,0,0
satisfied,Female,loyal,49,Personal ,Eco,939,1,1,5,1,2,5,5,4,4,4,4,3,4,4,14,12
satisfied,Female,loyal,27,Personal ,Eco,3167,4,1,1,1,4,4,4,4,2,4,5,3,3,4,4,0
satisfied,Female,loyal,33,Business ,Business,2492,2,2,2,2,3,4,5,4,4,4,4,4,4,3,0,5
satisfied,Female,loyal,19,Personal ,Eco,2209,4,4,4,4,5,5,5,5,3,4,4,4,5,5,0,0
dissatisfied,Male,loyal,22,Personal ,Eco,2318,1,4,1,5,3,1,5,3,3,4,5,5,4,3,0,0
dissatisfied,Male,loyal,57,Personal ,Eco,1605,3,3,3,3,4,3,4,4,4,2,4,3,3,4,56,66
dissatisfied,Male,disloyal,49,Business ,Business,2320,4,4,4,3,4,4,4,4,3,5,5,3,4,4,0,0
satisfied,Female,loyal,42,Business ,Business,1031,1,1,1,1,2,5,5,5,5,5,5,5,5,3,0,0
dissatisfied,Male,loyal,23,Personal ,Eco Plus,1497,2,2,2,3,5,2,5,5,4,4,4,1,4,5,8,4
satisfied,Female,loyal,51,Business ,Business,263,3,3,3,3,4,4,5,4,4,4,4,3,4,3,0,14
dissatisfied,Male,loyal,29,Personal ,Eco Plus,1851,1,5,1,2,4,1,4,4,5,2,4,3,5,4,0,0
dissatisfied,Female,loyal,51,Business ,Business,3117,3,5,5,5,2,3,3,3,3,3,3,2,3,1,5,0
satisfied,Female,loyal,35,Personal ,Eco,1959,2,2,2,2,4,4,4,4,1,1,5,4,3,4,6,1
dissatisfied,Male,loyal,58,Personal ,Eco,1345,3,5,3,4,3,3,3,3,1,1,1,5,5,3,0,0
satisfied,Male,loyal,48,Business ,Eco,2114,5,5,5,5,5,5,5,5,2,5,1,2,1,5,0,0
dissatisfied,Male,loyal,33,Personal ,Business,2637,2,0,2,3,2,2,2,2,4,1,4,3,1,2,20,31
satisfied,Female,loyal,35,Personal ,Eco,1560,5,3,5,4,5,5,5,5,4,4,3,3,3,5,0,5
satisfied,Female,loyal,46,Business ,Business,2688,4,4,4,4,4,4,5,4,4,5,4,4,4,4,0,0
satisfied,Female,loyal,18,Personal ,Eco Plus,2092,2,2,2,2,3,4,4,4,4,4,4,3,4,5,10,9
dissatisfied,Female,loyal,32,Business ,Business,3374,2,4,4,4,2,2,2,2,4,1,4,1,3,2,27,27
dissatisfied,Male,loyal,53,Personal ,Eco,2026,2,4,2,2,5,2,5,5,4,2,5,4,5,5,0,0
satisfied,Female,loyal,64,Personal ,Eco,312,4,5,4,4,4,4,4,4,4,4,4,4,5,4,0,0
satisfied,Male,loyal,54,Business ,Business,4013,1,1,1,1,2,2,1,4,4,4,5,3,4,2,0,0
dissatisfied,Male,loyal,57,Personal ,Eco,1476,2,5,2,3,5,2,5,5,3,2,5,4,4,5,0,0
satisfied,Female,loyal,32,Business ,Eco Plus,1394,4,4,4,4,4,4,4,4,1,3,4,5,3,4,0,0
dissatisfied,Female,loyal,23,Business ,Eco Plus,1822,3,5,5,5,3,3,2,3,2,5,3,2,4,3,0,20
satisfied,Female,loyal,64,Personal ,Eco Plus,902,4,5,5,3,2,4,4,3,3,5,3,5,3,3,9,0
satisfied,Female,loyal,52,Business ,Business,1183,4,4,4,4,4,4,4,4,4,4,4,5,4,5,0,0
satisfied,Female,loyal,50,Business ,Business,3719,1,1,4,1,5,5,5,5,2,4,4,5,5,5,159,168
satisfied,Female,loyal,39,Business ,Business,3847,4,4,4,4,3,4,5,4,4,5,4,4,4,3,0,3
dissatisfied,Female,disloyal,43,Business ,Eco,2601,2,2,2,4,4,2,4,4,1,4,3,1,3,4,0,0
satisfied,Female,loyal,31,Business ,Business,1748,5,5,5,5,4,5,4,4,3,2,5,5,5,4,2,1
dissatisfied,Female,loyal,44,Personal ,Eco,359,4,5,4,3,4,5,4,3,3,4,3,4,3,4,16,3
satisfied,Female,disloyal,22,Business ,Business,2537,0,4,0,5,5,0,5,5,4,4,4,3,5,5,6,9
satisfied,Female,loyal,39,Business ,Business,1584,4,4,4,4,2,4,4,5,5,5,5,3,5,5,0,0
satisfied,Female,loyal,10,Personal ,Eco,1535,3,3,3,3,3,2,1,3,3,3,3,1,3,5,0,0
dissatisfied,Male,loyal,24,Personal ,Eco,1921,2,1,2,3,1,2,1,1,2,2,3,2,4,1,22,14
dissatisfied,Female,disloyal,54,Business ,Eco,1653,2,2,2,3,4,2,4,4,1,3,3,3,4,4,116,102
dissatisfied,Male,loyal,62,Personal ,Eco,1697,2,4,2,1,5,2,5,5,3,5,4,4,4,5,0,0
dissatisfied,Female,loyal,54,Personal ,Eco,3288,1,2,1,4,1,4,4,4,5,3,3,4,1,4,162,156
dissatisfied,Female,disloyal,26,Business ,Business,2291,1,0,1,3,5,1,5,5,5,3,4,4,4,5,0,0
satisfied,Male,loyal,49,Business ,Business,1367,5,5,5,5,5,4,5,5,5,5,5,3,5,4,26,58
dissatisfied,Male,loyal,38,Personal ,Eco,1951,1,3,1,4,1,1,1,1,5,3,3,5,3,1,0,14
dissatisfied,Male,loyal,15,Personal ,Business,3444,3,4,3,4,1,3,4,1,4,3,4,4,4,1,0,1
satisfied,Male,loyal,46,Business ,Business,2352,4,4,4,4,3,5,4,4,4,4,4,3,4,3,0,9
dissatisfied,Male,loyal,14,Personal ,Eco,3656,4,0,4,3,2,4,4,2,3,3,4,4,4,2,19,8
satisfied,Female,loyal,49,Personal ,Eco,691,1,1,1,1,3,4,5,4,4,4,4,3,4,5,0,0
dissatisfied,Male,loyal,20,Personal ,Eco,1122,4,2,4,4,3,4,4,3,2,3,4,1,4,3,0,0
dissatisfied,Female,disloyal,27,Business ,Business,1469,1,1,1,2,5,1,5,5,3,2,5,3,4,5,29,19
dissatisfied,Female,disloyal,36,Business ,Eco,1777,4,3,4,3,1,4,1,1,1,2,4,3,4,1,0,4
dissatisfied,Female,disloyal,27,Business ,Business,1627,4,4,4,5,5,4,1,5,3,5,5,4,4,5,2,0
satisfied,Male,disloyal,23,Business ,Business,1306,5,5,5,2,4,5,4,4,4,2,5,5,4,4,10,60
satisfied,Male,loyal,49,Business ,Business,2175,4,3,4,4,5,5,5,3,2,5,5,5,4,5,216,235
satisfied,Female,loyal,63,Personal ,Eco,597,5,5,5,5,5,5,5,4,4,4,4,4,4,4,0,0
satisfied,Male,loyal,52,Business ,Business,2701,1,1,5,1,4,4,4,5,5,5,5,5,5,5,0,0
satisfied,Female,loyal,47,Business ,Business,1833,1,1,5,1,2,5,4,3,3,4,3,5,3,4,7,16
dissatisfied,Male,loyal,24,Personal ,Eco,1251,3,4,3,2,1,3,1,1,4,3,4,4,5,1,19,22
satisfied,Male,loyal,53,Business ,Business,216,0,5,1,5,5,5,4,2,2,2,2,5,2,5,0,0
satisfied,Male,disloyal,38,Business ,Business,1641,5,5,5,4,4,5,4,4,5,4,5,3,4,4,22,25
satisfied,Female,loyal,25,Business ,Business,2689,3,3,5,3,5,5,5,5,5,4,2,2,4,5,0,10
dissatisfied,Male,loyal,31,Personal ,Eco Plus,1996,1,4,1,2,4,1,4,4,4,2,4,5,5,4,3,6
satisfied,Male,loyal,27,Business ,Business,5472,3,3,3,3,2,2,2,4,4,3,5,2,4,2,42,13
dissatisfied,Female,loyal,33,Business ,Business,2870,4,5,5,5,2,3,3,4,4,4,4,1,4,3,0,0
dissatisfied,Male,loyal,61,Business ,Eco,1151,3,4,4,4,3,3,3,3,3,3,4,2,3,3,0,0
dissatisfied,Male,loyal,65,Personal ,Eco,2038,1,4,1,5,2,1,2,2,4,4,4,3,5,2,0,0
satisfied,Female,loyal,19,Personal ,Eco,2331,3,3,3,3,4,4,5,5,5,5,5,4,5,4,6,13
dissatisfied,Male,loyal,35,Personal ,Eco,2465,3,5,3,3,4,3,4,4,2,1,4,2,4,4,31,46
satisfied,Female,loyal,53,Business ,Business,3477,1,1,1,1,4,4,5,4,4,4,4,5,4,4,0,0
dissatisfied,Male,loyal,66,Personal ,Eco,1656,2,5,2,2,3,2,3,3,5,4,5,1,3,3,46,56
satisfied,Male,disloyal,30,Business ,Eco,2717,4,4,4,1,5,4,4,5,1,5,3,4,3,5,0,0
dissatisfied,Female,disloyal,47,Business ,Eco,1571,2,0,3,4,5,3,4,5,1,1,5,3,3,5,1,0
dissatisfied,Male,loyal,40,Business ,Business,624,2,3,3,3,2,4,3,2,2,2,2,1,2,4,4,0
dissatisfied,Female,loyal,16,Personal ,Eco,1658,4,2,4,2,4,4,5,4,1,5,2,4,3,4,35,34
dissatisfied,Male,loyal,63,Business ,Eco,1996,1,1,1,1,1,1,1,1,4,2,2,2,3,1,66,76
satisfied,Male,loyal,46,Business ,Business,1721,1,1,1,1,2,5,5,2,2,2,2,4,2,3,0,0
satisfied,Female,loyal,56,Personal ,Eco,1401,5,2,2,2,4,5,5,5,5,5,5,2,5,5,0,0
dissatisfied,Male,loyal,51,Business ,Eco,2770,3,2,2,2,4,3,4,4,4,2,4,2,3,4,0,0
satisfied,Female,loyal,36,Personal ,Eco,1833,2,2,3,2,4,4,4,4,5,5,4,4,4,4,0,0
dissatisfied,Male,loyal,33,Business ,Business,4278,2,2,2,2,2,2,2,4,3,2,2,2,3,2,97,180
satisfied,Male,loyal,43,Business ,Business,259,3,3,3,3,5,4,4,5,5,5,5,3,5,5,0,0
dissatisfied,Female,loyal,56,Personal ,Business,1587,3,5,3,4,2,5,5,3,3,3,3,3,3,4,11,12
satisfied,Female,loyal,29,Personal ,Eco,1779,2,2,2,2,5,4,5,5,5,5,5,4,5,4,0,0
satisfied,Female,loyal,48,Business ,Business,97,4,4,4,4,3,5,5,4,4,4,5,5,4,3,0,0
dissatisfied,Male,disloyal,35,Business ,Business,2551,3,3,3,2,2,3,2,2,5,5,4,4,4,2,0,0
satisfied,Female,loyal,60,Business ,Business,2487,5,5,5,5,5,3,5,3,3,3,3,3,3,3,1,0
dissatisfied,Female,loyal,69,Business ,Business,3192,1,2,2,2,5,3,4,1,1,1,1,2,1,2,0,0
satisfied,Female,loyal,15,Personal ,Eco,1734,0,5,0,1,3,5,4,4,4,0,4,5,4,5,0,0
satisfied,Male,loyal,56,Business ,Business,1762,4,4,4,4,2,5,5,5,5,5,5,3,5,3,0,0
dissatisfied,Male,loyal,37,Personal ,Eco,1883,4,4,4,1,2,4,1,2,5,2,5,4,4,2,103,103
dissatisfied,Female,disloyal,8,Business ,Eco Plus,2034,3,2,3,4,1,3,1,1,3,5,4,4,3,1,0,11
satisfied,Female,loyal,50,Business ,Business,2244,1,1,1,1,3,3,2,5,5,5,5,5,5,4,0,0
satisfied,Male,loyal,53,Business ,Business,1731,5,5,3,5,2,4,5,4,4,4,4,5,4,4,0,0
dissatisfied,Male,disloyal,39,Business ,Eco,1492,4,0,4,3,2,4,2,2,3,5,2,2,1,2,16,32
dissatisfied,Male,disloyal,38,Business ,Eco,1539,2,0,1,4,4,1,4,4,5,2,5,2,1,4,12,24
dissatisfied,Female,loyal,35,Business ,Business,498,2,3,5,3,1,4,4,2,2,2,2,3,2,1,0,0
satisfied,Female,loyal,64,Personal ,Eco,1639,1,1,1,1,2,5,4,4,4,5,4,3,4,5,0,0
dissatisfied,Male,loyal,62,Personal ,Eco Plus,904,2,4,2,4,3,2,3,3,2,5,3,2,3,3,0,0
satisfied,Male,loyal,41,Business ,Business,1544,4,4,4,4,2,5,5,4,4,4,4,4,4,4,31,27
satisfied,Male,loyal,44,Business ,Business,2466,5,5,5,5,4,3,3,5,5,5,5,4,5,5,0,0
satisfied,Female,loyal,52,Personal ,Eco Plus,1104,2,2,2,2,2,5,5,5,5,5,5,5,5,4,76,92
dissatisfied,Female,loyal,67,Business ,Eco Plus,879,2,5,5,5,5,4,3,2,2,2,2,3,2,1,64,67
dissatisfied,Male,loyal,21,Personal ,Eco,1999,1,1,1,2,4,1,4,4,5,5,5,5,5,4,0,3
dissatisfied,Female,disloyal,32,Business ,Eco,1550,2,0,2,5,3,2,3,3,3,5,2,5,1,3,0,0
dissatisfied,Male,loyal,42,Business ,Eco,1853,4,5,5,5,3,4,3,3,2,3,2,4,2,3,0,0
dissatisfied,Male,loyal,61,Personal ,Eco,2307,3,2,3,4,2,3,2,2,1,5,4,1,4,2,0,0
satisfied,Male,disloyal,21,Business ,Eco,2926,4,4,4,3,2,4,2,2,5,3,5,4,4,2,0,4
dissatisfied,Male,disloyal,39,Business ,Business,3812,3,3,3,1,4,3,4,4,4,2,3,4,5,4,0,0
