survived,pclass,sex,age,sibsp,parch,fare
no,3rd,female,36,0,2,12.1833
yes,3rd,male,25,0,0,7.2292
no,3rd,female,37,0,0,9.5875
yes,3rd,female,22,0,0,7.25
yes,3rd,male,26,0,0,56.4958
no,3rd,male,29,0,0,9.4833
no,3rd,male,29,0,0,7.775
no,3rd,male,22,0,0,7.775
yes,3rd,male,22,0,0,7.225
no,3rd,male,32,0,0,7.925
no,3rd,male,34.5,0,0,6.4375
no,3rd,male,39,0,0,24.15
no,3rd,male,24,0,0,9.5
no,3rd,female,25,0,0,7.775
no,3rd,female,45,0,0,7.75
no,3rd,male,36,1,0,15.55
no,3rd,female,30,1,0,15.55
yes,3rd,male,20,1,0,7.925
no,3rd,male,28,0,0,56.4958
no,3rd,male,30,1,0,16.1
no,3rd,female,26,1,0,16.1
no,3rd,male,20.5,0,0,7.25
yes,3rd,male,27,0,0,8.6625
no,3rd,male,51,0,0,7.0542
yes,3rd,female,23,0,0,7.8542
yes,3rd,male,32,0,0,7.5792
yes,3rd,male,24,0,0,7.1417
no,3rd,male,22,0,0,7.125
no,3rd,male,29,0,0,7.925
no,3rd,female,30.5,0,0,7.75
no,3rd,male,35,0,0,7.8958
no,3rd,male,33,0,0,7.8958
yes,3rd,female,15,0,0,8.0292
no,3rd,female,35,0,0,7.75
no,3rd,male,24,1,0,16.1
no,3rd,female,19,1,0,16.1
no,3rd,male,55.5,0,0,8.05
yes,3rd,male,21,0,0,7.775
no,3rd,male,24,0,0,7.8958
no,3rd,male,21,0,0,7.8958
no,3rd,male,28,0,0,7.8958
no,3rd,male,25,0,0,7.65
yes,3rd,female,27,0,1,12.475
no,3rd,male,34,0,0,8.05
yes,3rd,female,24,0,0,7.75
no,3rd,male,18,0,0,7.75
no,3rd,male,22,0,0,7.8958
yes,3rd,female,15,0,0,7.225
yes,3rd,male,20,1,1,15.7417
yes,3rd,female,19,1,1,15.7417
no,3rd,male,33,0,0,8.05
yes,3rd,male,12,1,0,11.2417
yes,3rd,female,14,1,0,11.2417
no,3rd,female,29,0,0,7.925
no,3rd,male,28,0,0,8.05
yes,3rd,female,18,0,0,7.775
yes,3rd,female,26,0,0,7.8542
no,3rd,male,21,0,0,7.8542
no,3rd,male,41,0,0,7.125
yes,3rd,male,39,0,0,7.925
no,3rd,male,21,0,0,7.8
no,3rd,male,28.5,0,0,7.2292
yes,3rd,female,22,0,0,7.75
no,3rd,male,61,0,0,6.2375
no,3rd,male,23,0,0,9.225
yes,3rd,female,22,0,0,7.775
no,3rd,male,28,0,0,22.525
no,3rd,male,42,0,1,8.4042
no,3rd,female,31,0,0,7.8542
no,3rd,male,28,0,0,7.8542
yes,3rd,male,32,0,0,7.775
no,3rd,male,20,0,0,9.225
no,3rd,female,23,0,0,8.6625
no,3rd,female,20,0,0,8.6625
no,3rd,male,20,0,0,8.6625
no,3rd,male,16,0,0,9.2167
yes,3rd,female,31,0,0,8.6833
no,3rd,female,29,0,4,21.075
no,3rd,male,16,4,1,39.6875
no,3rd,male,14,4,1,39.6875
no,3rd,female,41,0,5,39.6875
no,3rd,male,21,0,0,8.6625
no,3rd,male,19,0,0,14.5
no,3rd,male,32,0,0,7.8958
no,3rd,male,0.75,1,1,13.775
no,3rd,female,26,0,2,13.775
no,3rd,male,21,0,0,7.925
no,3rd,male,25,0,0,7.925
no,3rd,male,22,0,0,7.25
yes,3rd,male,25,1,0,7.775
no,3rd,male,24,0,0,8.05
no,3rd,female,28,0,0,7.8958
no,3rd,male,19,0,0,7.8958
no,3rd,male,25,1,0,7.775
no,3rd,female,18,0,0,7.775
yes,3rd,male,32,0,0,8.05
no,3rd,male,17,0,0,8.6625
no,3rd,male,24,0,0,8.6625
no,3rd,male,38,0,0,7.8958
no,3rd,male,21,0,0,8.05
no,3rd,male,10,4,1,29.125
no,3rd,female,39,0,5,29.125
no,3rd,female,22,0,0,39.6875
no,3rd,male,35,0,0,7.125
no,3rd,male,50,1,0,14.5
no,3rd,female,47,1,0,14.5
no,3rd,male,18,1,1,20.2125
no,3rd,female,41,0,2,20.2125
no,3rd,male,50,0,0,8.05
no,3rd,male,16,0,0,8.05
no,3rd,male,25,0,0,7.225
no,3rd,male,38.5,0,0,7.25
no,3rd,male,14.5,8,2,69.55
no,3rd,male,24,0,0,9.325
yes,3rd,female,21,0,0,7.65
no,3rd,male,39,0,0,7.925
yes,3rd,female,24,0,2,16.7
yes,3rd,male,25,0,0,9.5
no,3rd,male,20,0,0,8.05
no,3rd,male,24.5,0,0,8.05
yes,3rd,male,29,0,0,9.5
no,3rd,male,22,0,0,7.2292
no,3rd,male,40,0,0,7.8958
no,3rd,male,21,0,0,7.925
yes,3rd,female,18,0,0,7.4958
no,3rd,male,10,3,2,27.9
no,3rd,male,40,1,4,27.9
no,3rd,female,45,1,4,27.9
no,3rd,male,19,0,0,7.65
no,3rd,male,30,0,0,8.05
no,3rd,male,32,0,0,8.05
no,3rd,male,33,0,0,8.6625
yes,3rd,female,23,0,0,7.55
no,3rd,male,21,0,0,8.05
no,3rd,male,19,0,0,7.8958
no,3rd,female,22,0,0,9.8375
yes,3rd,male,31,0,0,7.925
no,3rd,male,27,0,0,8.6625
no,3rd,female,29,1,1,10.4625
yes,3rd,male,16,0,0,8.05
yes,3rd,male,44,0,0,7.925
no,3rd,male,25,0,0,7.05
no,3rd,male,74,0,0,7.775
yes,3rd,male,14,0,0,9.225
no,3rd,male,24,0,0,7.7958
yes,3rd,male,25,0,0,7.7958
no,3rd,male,34,0,0,8.05
yes,3rd,male,0.4167,0,1,8.5167
yes,3rd,female,16,1,1,8.5167
no,3rd,male,32,0,0,7.925
no,3rd,male,30.5,0,0,8.05
no,3rd,male,44,0,0,8.05
yes,3rd,female,29,0,2,15.2458
no,3rd,male,36,0,0,7.8958
yes,3rd,female,18,0,0,9.8417
yes,3rd,female,63,0,0,9.5875
no,3rd,male,11.5,1,1,14.5
no,3rd,male,40.5,0,2,14.5
no,3rd,female,10,0,2,24.15
no,3rd,male,36,1,1,24.15
no,3rd,female,30,1,1,24.15
no,3rd,male,33,0,0,9.5
no,3rd,male,28,0,0,9.5
no,3rd,male,28,0,0,9.5
no,3rd,female,18,2,0,18
no,3rd,male,31,3,0,18
no,3rd,male,16,2,0,18
no,3rd,female,31,1,0,18
yes,3rd,male,22,0,0,7.225
no,3rd,male,20,0,0,7.8542
no,3rd,female,14,0,0,7.8542
no,3rd,male,22,0,0,7.8958
no,3rd,male,32.5,0,0,9.5
yes,3rd,female,38,0,0,7.2292
no,3rd,male,51,0,0,7.75
no,3rd,male,18,1,0,6.4958
no,3rd,male,21,1,0,6.4958
no,3rd,male,28.5,0,0,16.1
no,3rd,male,21,0,0,7.25
no,3rd,male,27,0,0,8.6625
no,3rd,male,36,0,0,9.5
no,3rd,male,27,1,0,14.4542
yes,3rd,female,15,1,0,14.4542
no,3rd,male,45.5,0,0,7.225
no,3rd,female,14.5,1,0,14.4542
no,3rd,male,26.5,0,0,7.225
no,3rd,male,27,0,0,7.225
no,3rd,male,29,0,0,7.875
